indice,nombre,precio,tienda
0,Sal Refisal Bolsa x 1000 g,$ 1.890,jumbo
1,Aceite Diana vitaminas x3000ml,$ 33.990,jumbo
2,Lenteja Diana x 500g,$ 3.890,jumbo
3,Chocolate Resellable Corona x 500G,$ 5.912,jumbo
4,Harina PAN Blanca x 1000 g,$ 4.190,jumbo
5,Arroz Diana x 10 Kg,$ 35.890,jumbo
6,Arroz Roa x 10kg,$ 42.990,jumbo
7,Café Sello Rojo x 500g,$ 12.990,jumbo
8,Azúcar blanco Providencia x 2.5 Kg,$ 8.290,jumbo
9,Arroz cuisine&co blanco x10000g,$ 35.590,jumbo
10,Azúcar Manuelita Alta Pureza x 2.5 kilo,$ 8.990,jumbo
11,Atún En Agua Van Camps x 160g x 4und,$ 22.392,jumbo
12,Atún Cuisine & Co lomitos en agua x160g,$ 4.790,jumbo
13,Arroz Florhuila x 5kg,$ 20.990,jumbo
14,Café Águila Roja x 500g,$ 12.890,jumbo
15,Lenteja Maritza premium x 500 g,$ 3.990,jumbo
16,Café Sello Rojo Tradicional x 600g,$ 12.590,jumbo
17,Arroz Florhuila x 10 kg,$ 42.990,jumbo
18,Chocolate La Especial x 500 G. x 16 Pastillas,$ 5.390,jumbo
19,Arroz Supremo x 5 kg,$ 19.590,jumbo
20,Azúcar providencia blanca x 500 g,$ 1.850,jumbo
21,Aceite Premier girasol x 3000 ml gratis 500 ml,$ 51.590,jumbo
22,Panela fonce pastilla x900g,$ 4.952,jumbo
23,Lenteja cuisine&co x500g,$ 3.290,jumbo
24,Arroz diana premium x10kg,$ 54.990,jumbo
25,Harina De Trigo Tradicional Haz De Oros x 1000g,$ 4.390,jumbo
26,Harina De Maíz Blanco Extrafina Doñarepa x 1000g,$ 4.690,jumbo
27,Garbanzo diana seleccionados x500g,$ 3.890,jumbo
28,Avena Quaker hojuelas original x 800 g gratis 160 g,$ 9.112,jumbo
29,Café Nescafé Tradición x170g,$ 21.990,jumbo
30,Aceite De Oliva Extra Virgen Ybarra x 3 Lt,$ 71.990,jumbo
31,Vinagre cuisine&co blanco x4000ml,$ 13.790,jumbo
32,Arroz roa blanco fortiplus x3000g,$ 12.690,jumbo
33,Maiz pira diana crispetas alta calidad x500g,$ 2.990,jumbo
34,Harina de trigo*500 g,$ 1.090,jumbo
35,Chocolate corona resellable *20 pas. *500g,$ 5.912,jumbo
36,Aceite Oleocali garrafa x 3000ml,$ 33.990,jumbo
37,Aceite Diana premium girasol canola x1000ml,$ 16.590,jumbo
38,Salsa Fruco de tomate doypack x1kg,$ 12.590,jumbo
39,Harina De Trigo Tradicional Haz De Oros x 500g,$ 2.190,jumbo
40,Aceite Gourmet Familia x 3000 cc,$ 48.990,jumbo
41,Maiz San Jorge tierno x 190g,$ 3.690,jumbo
42,Aceite Riquisimo garrafa x 3000ml,$ 32.190,jumbo
43,Frijol Diana calima x 500g,$ 5.990,jumbo
44,Atun cuisine&co lomo aceite soya x4undx160gc-u,$ 17.590,jumbo
45,Atún Aceite Oliva 3und x 80g Van Camps,$ 14.990,jumbo
46,Avena Don Pancho hojuelas x 1000 g gratis 200 g,$ 8.312,jumbo
47,Sal marina Refisal bolsa x 800 g,$ 3.590,jumbo
48,Azucar morena x2.5kg providencia,$ 9.390,jumbo
49,Atun cuisine&co lomitos agua x4und x160g c-u,$ 17.590,jumbo
50,Azúcar Manuelita Morena x 2.5 Kilos,$ 8.990,jumbo
51,Arroz cuisine&co blanco x5000g,$ 17.990,jumbo
52,Harina Diana maíz blanco x500g,$ 2.190,jumbo
53,Arroz Diana x 3 Kg,$ 11.590,jumbo
54,Lenteja Maritza premium x 1000 g,$ 7.690,jumbo
55,Vinagre cuisine&co blanco x1000ml,$ 3.890,jumbo
56,Pasta Spaghetti Pastas La muñeca x 1000g,$ 5.790,jumbo
57,Frijol maritza bola roja premium x1000g,$ 11.590,jumbo
58,Azúcar blanco Riopaila x 2500g,$ 8.790,jumbo
59,Aceite vegetal fino soya girasol x 1.8l,$ 20.990,jumbo
60,Azúcar Manuelita Alta Pureza x 1 Kilo,$ 3.590,jumbo
61,Canela El Rey seleccionada x20g,$ 4.290,jumbo
62,Frijol cuisine&co bola roja x500g,$ 4.890,jumbo
63,Garbanzo cuisine&co x500g,$ 3.290,jumbo
64,Aceite fino soya girasol x 1000ml,$ 12.590,jumbo
65,Aceite Diana premium girasol canola x3000ml,$ 45.990,jumbo
66,Lenteja cuisine&co x1kg,$ 6.390,jumbo
