indice,nombres,precios
0,LONCHERA RAMO 186 G 7 UND,$ 4.550
1,SALSA MAÍZ DULCE ZEV 200GR,$ 2.390
2,SALSA CREMA AHUMADA ZEV 200GR,$ 2.490
3,GALLETA OREO 6 PQ 216 G,$ 3.890
4,CEREZAS MARRASCHINO AINOA 125 G,$ 3.990
5,BARQUILLO RELLENO NIRVANA,$ 1.390
6,ALMENDRAS CON CHOCOLATE CHALET 100G,$ 4.990
7,PASABOCAS DE MAÍZ Y QUINUA NATRI X 6UND,$ 3.790
8,LONCHERA SURTIDA NATRI 5UN 225G,$ 7.490
9,DURAZNOS EN ALMÍBAR PAVLIDES 425 G NETOS,$ 5.990
10,SALCHICHA ALEMANA CASABLANCA 250 G,$ 7.990
11,SALCHICHA BERLINESA CASABLANCA 250 G,$ 7.990
12,HAMBURGUESA RANCHERA 400 G,$ 14.790
13,ATÚN EN ACEITE CARLO FORTE 170 G NETO,$ 4.490
14,ATÚN A.OLIVA CARLO FORTE 160 G NETO,$ 6.390
15,ATÚN EN AGUA CARLO FORTE 170 G NETO,$ 4.390
16,BARQUILLOS SURTIDOS NUZART 145 GR,$ 4.990
17,LONCHERA SUBMARINOS SURTIDOS 206 G,$ 3.790
18,PAN VITAL FRUTICEREAL 500 G,$ 8.690
19,PAPAS FRITAS SURTIDAS DELICAMPO,$ 3.390
20,CHICHARRÓN DE CERDO DON CHICHARRÓN 35G,$ 3.490
21,SALSAS MEXICANAS SURTIDAS 210G,$ 3.690
22,BARRA CHOCOLATE MANI KICK 52G,$ 1.790
23,TRIDENT YERBABUENA 12S,$ 3.150
24,"TRIDENT MORAZUL 5S 8,5G",$ 1.150
25,TABLETA CHOCOLATE MORA MONTBLANC 60G,$ 3.490
26,ACEITE VEGETAL GOTA DE ORO 900 ML,$ 8.990
27,ACEITE GIRASOL GOTA DE ORO 900 ML,$ 9.990
28,CHIPS DE VEGETALES NATRI 50 GR,$ 2.490
29,MINICHOCOTAJADA CASA 12 UND 240 G,$ 3.790
30,TAJADA SURTIDA CASA 5 UND 300 G,$ 3.490
31,ACEITE DE OLIVA AROMATIZADO OLI-OLÉ 125,$ 7.490
32,PAN TAJADO INTEGRAL HORNEADITOS 450 G,$ 2.950
33,AREPA DE YUCA MASMAÍ 4 UND - 240 G,$ 3.290
34,AREPA EXTRAQUESO MASMAÍ 4 UND - 720 G,$ 3.990
35,AREPA DE CHÓCOLO 5 UND MASMAÍ 400 GRS,$ 2.290
36,AREPA DE QUESO 5 UND MASMAÍ 400 GRS,$ 2.200
37,AREPA CON QUESO MOZZARELLA MASMAI 400 GRS...,$ 3.690
38,AREPA DE MAÍZ BLANCO CON AVENA Y CHÍA MASMAÍ 5 ...,$ 3.690
39,AREPA BLANCA MASMAÍ 5 UND - 400 G,$ 990
40,AREPA AMARILLA MASMAÍ 5 UND - 400 G,$ 990
41,AREPA MINITELA BLANCA MASMAI 10 UND - 500 G...,$ 1.050
42,SALCHICHA RANCHERA X 131 G X 4 UD,$ 4.490
43,JAMON PIETRAN ESTANDAR 167 GRS,$ 5.550
44,COMBO TRADICIONAL VIANDE 900 GR,$ 9.890
45,MORCILLA VIANDÉ 500 GRS,$ 5.990
46,JAMÓN DE POLLO PREMIUM BRAKEL 250 G,$ 5.250
47,COSTILLA DE CERDO AHUMADA BIG BOB 450 G,$ 12.590
48,JAMÓN SERRANO LOURISIERRA 80 G,$ 6.490
49,JAMON PERNIL CERDO PREMIUM VIANDÉ 250 G,$ 7.300
50,SALCHICHÓN DE POLLO BRAKEL 500 G,$ 4.850
51,SALCHICHÓN CERVECERO VIANDÉ 500 G,$ 7.300
52,SALCHICHA TIPO PARRILLA BIG BOB 280 G,$ 6.990
53,SALCHICHA PERRO AMERICANA BIG BOB 430 G,$ 7.590
54,SALCHICHÓN TRADICIONAL VIANDÉ 500 G,$ 4.690
55,CHORIZO VELA + SALAMI LOURISIERRA 80 G,$ 6.490
56,HAMBURGUESA PARRILLA BIG BOB 400 G X 4 UD...,$ 10.990
57,CABANO VIANDE 68 GR X 4 UD,$ 2.890
58,CHORIZO CAMPESINO AHUMADO VIANDÉ 225 GRS,$ 3.290
59,CHORIZO TIPO TERNERA VIANDÉ 500 G,$ 8.450
60,CHORIZO SANTARROSANO VIANDÉ 225 G,$ 4.490
61,MORTADELA POLLO PREMIUM BRAKEL 250 G,$ 3.690
62,JAMÓN DE CERDO PREMIUM VIANDÉ 300 G,$ 6.790
63,LONGANIZA DE CERDO VIANDÉ 320 G,$ 5.690
64,HAMBURGUESA DE RES VIANDÉ 450 G,$ 8.250
65,TOCINETA TIPO SANDWICH VIANDÉ 200 G,$ 4.990
66,SALCHICHA MINIMANGUERA VIANDÉ 480 G,$ 3.790
67,JAMON DE PAVO WHITE HOLLAND 250 G,$ 7.490
68,JAMÓN DE CERDO VIANDÉ 400 GRS,$ 6.490
69,MORTADELA FINA VIANDÉ 225 GRS,$ 2.190
70,SALCHICHA PARRILLA VIANDÉ 500 GRS,$ 7.750
71,HAMBURGUESA DE POLLO BRAKEL 450 G,$ 8.250
72,TOCINETA AHUMADA VIANDÉ 150 GRS,$ 4.650
73,SALCHICHA TRADICIONAL VIANDÉ 450 GRS,$ 5.090
74,BUTIFARRA VIANDE 500 G,$ 5.990
75,JAMÓN PECHUGA PAVO DELISHAVED BAR-S 227 G...,$ 13.650
76,PERA VERDE IMPORTADA 1000 G,$ 8.490
77,MANZANA ROYAL GALA 1000 GRS,$ 8.090
78,PIMENTÓN X 500 G,$ 3.450
79,PLÁTANO HARTÓN 1000 G,$ 3.690
80,TOMATES ENTEROS PELADOS DELIZIARE 400 G,$ 4.490
81,CARNE DE DIABLO ZENÚ 80 G,$ 4.690
82,CONSERVA DE PESCADO EN TINAPA 155 G NETO,$ 3.250
83,ATÚN RALLADO EL NAVÍO 170 G,$ 2.690
84,ATÚN ACEITE DE OLIVA CARLO FORTE 160 G,$ 6.290
85,TOMATES SECOS AINOA 180 G,$ 7.990
86,MAÍZ TIERNO COOLTIVO 340 G,$ 4.490
87,CONSERVA DE PESCADO CARLO FORTE 425 G,$ 5.650
88,SALCHICHA VIENA VIANDÉ 150 G,$ 2.490
89,ALCAPARRAS EN VINAGRE AINOA 125 GR,$ 2.990
90,CHAMPIÑONES TAJADOS COOLTIVO 280 G,$ 4.750
91,ACEITUNA DES/PIMIEN BOLSA AINOA 180 GR,$ 2.690
92,CONCHAS DORIA 250 G,$ 1.950
93,CABELLO DE ÁNGEL DORIA 250 G,$ 1.950
94,SPAGUETTI CAPRÍSSIMA 250 GRS,$ 1.250
95,CONCHA CAPRÍSSIMA 250 GRS,$ 1.250
96,CABELLO DE ÁNGEL CAPRÍSSIMA 250 GRS,$ 1.250
97,SPAGHETTI DELIZIARE 500 G,$ 3.690
98,PENNE DELIZIARE 500 G,$ 3.690
99,FUSILLI MIXTO DELIZIARE 500 G,$ 4.990
100,PASTA PARA LASAGNA DELIZIARE X 450 GR,$ 6.990
101,SPAGHETTI DORIA 250 G,$ 1.950
102,ESPARCIBLE MULTIUSOS RAMA 250 G,$ 3.990
103,ACEITE GOTA DE ORO 3000 ML,$ 28.890
104,ACEITE GOTA DE ORO 1000 ML,$ 9.390
