indice,nombres,precios
0,Sal Refisal Bolsa x 1000 g,$ 1.890
1,Aceite Diana vitaminas x3000ml,$ 33.990
2,Lenteja Diana x 500g,$ 3.890
3,Chocolate Resellable Corona x 500G,$ 5.912
4,Harina PAN Blanca x 1000 g,$ 4.190
5,Arroz Diana x 10 Kg,$ 35.890
6,Arroz Roa x 10kg,$ 42.990
7,Café Sello Rojo x 500g,$ 12.990
8,Azúcar blanco Providencia x 2.5 Kg,$ 8.290
9,Arroz cuisine&co blanco x10000g,$ 35.590
10,Azúcar Manuelita Alta Pureza x 2.5 kilo,$ 8.990
11,Atún En Agua Van Camps x 160g x 4und,$ 22.392
12,Atún Cuisine & Co lomitos en agua x160g,$ 4.790
13,Arroz Florhuila x 5kg,$ 20.990
14,Café Águila Roja x 500g,$ 12.890
15,Lenteja Maritza premium x 500 g,$ 3.990
16,Café Sello Rojo Tradicional x 600g,$ 12.590
17,Arroz Florhuila x 10 kg,$ 42.990
18,Chocolate La Especial x 500 G. x 16 Pastillas,$ 5.390
19,Arroz Supremo x 5 kg,$ 19.590
20,Azúcar providencia blanca x 500 g,$ 1.850
21,Aceite Premier girasol x 3000 ml gratis 500 ml,$ 51.590
22,Panela fonce pastilla x900g,$ 4.952
23,Lenteja cuisine&co x500g,$ 3.290
24,Arroz diana premium x10kg,$ 54.990
25,Harina De Trigo Tradicional Haz De Oros x 1000g,$ 4.390
26,Harina De Maíz Blanco Extrafina Doñarepa x 1000g,$ 4.690
27,Garbanzo diana seleccionados x500g,$ 3.890
28,Avena Quaker hojuelas original x 800 g gratis 160 g,$ 9.112
29,Café Nescafé Tradición x170g,$ 21.990
30,Aceite De Oliva Extra Virgen Ybarra x 3 Lt,$ 71.990
31,Vinagre cuisine&co blanco x4000ml,$ 13.790
32,Arroz roa blanco fortiplus x3000g,$ 12.690
33,Maiz pira diana crispetas alta calidad x500g,$ 2.990
34,Harina de trigo*500 g,$ 1.090
35,Chocolate corona resellable *20 pas. *500g,$ 5.912
36,Aceite Oleocali garrafa x 3000ml,$ 33.990
37,Aceite Diana premium girasol canola x1000ml,$ 16.590
