indice,nombres,precios
0,Lenteja Olimpica 500 G,$ 3.100
1,Huevo AA Kikes Rojo X30 Unds,$ 19.900
2,SAL REFISAL 1 Kg,$ 1.890
3,Harina De Maíz Pan Blanco 1 Kg,$ 4.500
4,"Azúcar Olimpica Refinada 2,5 Kg",$ 8.975
5,Arroz Sabrosón 3 Kg,$ 9.800
6,Atún Medalla De Oro Lomo Agua 170 G,$ 4.290
7,Galleta Saltín Noel Rojo Taco 300 G X3 Unds,$ 4.990
8,CAFE-SELLO-ROJO-450g,$ 11.400
9,Azúcar Olimpica Morena 1 Kg,$ 3.300
10,Galleta Oreo Clásica 432 G,$ 8.500
11,Arroz Diana 1 Kg,$ 3.990
12,Harina De Trigo Haz De Oro 500 G,$ 2.000
13,Arroz Diana 5 Kg,$ 19.950
14,Galleta Tosh Bran Miel 270 G,$ 6.500
15,Aceite De Girasol Gourmet Familia 1 Lt,$ 18.500
16,Huevo AA Pet Kikes Rojo X12 Unds,$ 8.900
17,Lenteja Olimpica 1 Kg,$ 6.150
18,Azúcar Manuelita Morena 1 Kg,$ 4.240
19,Harina De Trigo Olimpica 500 G,$ 1.250
20,Galleta Saltín Noel Rojo Taco 500 G X5 Unds,$ 6.200
21,Huevo AAA Santa Anita Rojo Amarrado X30 Unds,$ 16.900
22,"Azúcar Manuelita Blanca 2,5 Kg",$ 10.650
23,Azúcar Manuelita 1 Kg,$ 3.700
24,Galleta Ducales Taco 360 G X3 Unds,$ 6.750
25,Pasta Comarrico Fideo 454 G,$ 2.300
26,Salsa De Tomate Fruco Doypack 400 G,$ 7.500
27,Frijol Olimpica Bola 500 G,$ 4.800
28,Atún Van Camps Aceite De Oliva 80 G X3 Unds,$ 14.500
29,Vinagre Medalla De Oro Blanco 1 Lt,$ 2.490
30,Garbanzo Olimpica 500 G,$ 2.550
31,Avena Olimpica En Hojuelas 500 G,$ 3.490
32,Aceite Medalla De Oro Palma 3 Lt,$ 25.700
33,Huevo Olimpica Rojo Tipo A 12 Unds,$ 7.300
34,"Azúcar Morena Olimpica 2,5 Kg",$ 9.250
35,Aceite De Soya Olimpica 900 ML,$ 10.990
36,Vinagre Medalla De Oro Blanco 500 Ml,$ 1.460
37,Galleta Club Social Integral 234 G,$ 5.200
38,Salsa Medalla De Oro Negra 190 G,$ 1.590
39,"Arroz Diana Premium 2,5 Kg",$ 14.500
